Location	Category	Sub Category	Brand	Offer	Start Date	End Date
Udaipur	Hotels	Cafe	Tea Junction	21% off on total billing (as per rates of menu card (excluding taxes)	"October 12, 2013"	"October 11, 2014"
Udaipur	Dining	Restaurant	M/S Vague	"15% off on total billing (as per card rate, inclusive of taxes)"	"October 12, 2013"	"October 13, 2014"
Udaipur	Dining	Restaurant	Temptation	15% off on total billing (cannot be combined with any other offer/negotiation)	"October 12, 2013"	"October 11, 2014"
Udaipur	Hotels	Hotels	Amantra Comfort Hotel	"15% off only on meals & non-alcoholic beverages on total billing (as per menu card rate, exclusive of taxes)"	"September 30, 2013"	"September 30, 2014"
Udaipur	Hotels	Hotels	Hotel Royal Palm	20% off on total billing of food & beverages (as per menu card price & exclusive of taxes)	"October 12, 2013"	"October 11, 2014"
Udaipur	Health & Wellness	Gym	Shape 'N'  Wrap	20% off on total billing as per MRP	"October 14, 2013"	"October 13, 2014"
Ajmer	Electronics	Electronics	Surabhi Stores Pvt Ltd	"5% off on total billing (as per card rate) of selected 10 brands (SONY, SHARP, IFB, PANASONIC, BOSCH, WHIRLPOOL, CARRIER MIDEA, KELVINATOR, SANSUI)"	"September 11, 2013"	"September 10, 2014"
Jaipur	Health & Wellness	Gym	Sara lifestyle & Leisures Pvt. Ltd. (Talwarkar)	15% off on total billing (as per tariff rate) on a package of 3 months and above	"September 11, 2013"	"October 15, 2014"
Jaipur	Health & Wellness	Beauty & skin care	Colors Hair & beauty Lounge	12% off on total billing (as per card rate) of Rs. 500 and above	"September 11, 2013"	"October 15, 2014"
Bikaner	Dining	Restaurant	Mirch Masala (D & G enterprises)	10% off on total billing between Rs. 500 to Rs. 1000 as per card rate 15% off on total billing above Rs. 1000 as per card rate	"October 14, 2013"	"October 31, 2014"
Jaipur	Retail	Jewellery	Rukmani Jewellers Pvt. Ltd.	25% off in making charges	"October 14, 2013"	"October 13, 2014"
Jaipur	Health & Wellness	Hospital	Ganadhipati Purushottam Shekhawati Hospital Pvt. Ltd.	"10% discount on hospital bill for medical treatment (IPD) (excluding expenses incurred on medicines, implants, stents and consumable items) 15% discount on diagnostic facility (excluding CT-scan, MRI & USG)"	"September 30, 2013"	"September 30, 2014"
Jaipur	Health & Wellness	Optician	Maharwal Eye Plus	10% off on total billing (basis the MRP mentioned)	"October 15, 2013"	"October 14, 2014"
Jaipur	Retail	Jewellery	SGS Jewellery Pvt. Ltd.	10% off on diamond jewelry (cost as per the MRP)	"October 15, 2013"	"October 15, 2014"
Jaipur	Hotels	Resorts	Rajasthali	20% off on total billing (as per card rate)	"September 11, 2013"	"September 30, 2014"
Jaipur	Hotels	Restaurant	Hotel Park Inn	20% off on MRP (inclusive of all taxes) (As per card rate)	"October 1, 2013"	"October 31, 2014"
Jaipur	Hotels	Restaurant	Hotel Park Prime	20% off on total billing (as per card rate)	"September 11, 2013"	"September 30, 2014"
Jaipur	Automobiles	Automobile	PL motors Ltd	15% off on labor charges 10% off on accessories as per MRP rate	"October 11, 2013"	"October 30, 2014"
Jaipur	Automobiles	Automobile	Hindustan Hyundai pvt Ltd	15% off on labor charges 10% off on accessories as per MRP rate	"October 11, 2013"	"October 30, 2014"
Jaipur	Retail	Jewellery	SKJ Jewellers	20% off on making charges (as per card rate)	"September 20, 2013"	"September 30, 2014"
Jaipur	Apparels	Apparels	Priyangini	10% discount on total billing (as per card rate)	"October 15, 2013"	"November 3, 2014"
Jaipur	Apparels	Apparels	Gama Fashion	10% discount on total billing (as per card rate)	"October 15, 2013"	"November 3, 2014"
Bikaner	Departmental store	Departmental	Anmol Super Store	3% additional discount on existing discount on selected products	"October 15, 2013"	"December 31, 2014"
